pm10,carbon 
21.8,0.3
38.7,0.5
40.3,0.5
29.8,0.2
39.6,0.3
24.7,0.2
35.2,0.3
38.5,0.4
27.8,0.2
22.9,0.2
22.7,0.2
22.7,0.2
28.4,0.3
32,0.3
91.6,0.2
24.3,0.3
24.3,0.2
49.1,0.2
19.2,0.2
24.4,0.3
37.6,0.4
27.3,0.4
36.9,0.2
43.8,0.2
48.1,0.2
28.2,0.2
21.3,0.2
23,0.2
25.4,0.3
28,0.4
24,0.3
23.1,0.2
29.6,0.2
35,0.3
57,0.4
35.2,0.3
33.1,0.2
36.1,0.2
47.1,0.2
33.5,0.2
42.2,0.3
37.1,0.3
100.3,0.2
128,0.2
23.4,0.2
30.1,0.4
33.8,0.3
58.1,0.2
40.9,0.2
66.8,0.2
42.5,0.2
21.1,0.2
29.5,0.3
29.9,0.4
34,0.4
34,0.3
39.4,0.3
35.7,0.3
33.7,0.3
25.9,0.2
30.9,0.2
33.9,0.2
114.2,0.2
25.5,0.2
26.9,0.3
26.1,0.3
22.6,0.3
35.3,0.3
29.9,0.2
29.2,0.3
32.1,0.2
40.9,0.1
30.4,0.1
22.3,0.2
28.1,0.2
28.8,0.2
29,0.2
35.9,0.3
43.9,0.3
29.2,0.3
49.1,0.3
30.6,0.3
25.2,0.3
27,0.2
25,0.3
30.1,0.3
36.2,0.3
24.4,0.2
26.2,0.2
28.8,0.2
29.7,0.2
27.8,0.2
22.7,0.3
35.3,0.3
24.6,0.3
28.3,0.3
25.7,0.3
32.1,0.3
47.1,0.2
123.5,0.2
24.4,0.2
27.5,0.4
29.4,0.4
43.6,0.3
89.8,0.2
44.1,0.2
41.8,0.2
19.3,0.2
17.4,0.2
20,0.2
30.8,0.4
38.8,0.3
27.9,0.3
24.4,0.3
33.7,0.3
22,0.2
27.9,0.3
31.3,0.3
28,0.4
26.1,0.3
40.5,0.2
31.8,0.3
27.4,0.2
26.7,0.4
39.8,0.4
46,0.2
30,0.4
40.6,0.4
23.6,0.3
21.6,0.3
24.8,0.3
55.4,0.3
199.7,0.3
39.3,0.2
32.4,0.3
23.6,0.3
23.8,0.3
33.4,0.5
29.4,0.3
33.5,0.3
20.1,0.3
24.8,0.4
35.1,0.3
24.6,0.2
30.7,0.3
19.7,0.3
17.1,0.3
23.2,0.3
31.9,0.3
28.5,0.4
25.6,0.2
26.7,0.3
34.9,0.3
27.1,0.2
26.4,0.3
29.2,0.3
27.6,0.4
24.2,0.3
27.7,0.2
37.5,0.2
27.2,0.3
35.5,0.3
27.5,0.3
17.8,0.3
18.7,0.3
20.6,0.3
27.9,0.4
25.4,0.3
30,0.2
65.6,0.2
32.9,0.2
26.8,0.3
128.5,0.2
52.4,0.2
65,0.2
45.3,0.3
32,0.4
24.3,0.3
99.5,0.3
48,0.2
25.5,0.2
25.6,0.3
38.1,0.3
29,0.3
16.5,0.7
27.3,0.8
13.9,0.7
20.1,0.1
17.7,0.1
18.7,0.1
20.4,0.1
35.3,0.1
27.5,0.1
23.1,0.2
20,0.2
23,0.1
25.7,0.1
15.9,0.1
21.1,0.1
24.3,0.1
19.6,0
21,0
21.5,0
27.6,0.1
22.3,0.1
23.2,0.1
21.7,0.1
38.7,0.1
35.7,0.2
27.1,0.1
24.2,0.1
19.5,0.1
18.7,0.1
41.5,0.1
32,0.2
27.4,0.1
64.9,0.1
38.6,0.2
28.1,0.1
25.7,0.2
20.5,0.1
19.3,0.1
18.9,0.1
18.4,0.1
19.6,0.1
19.8,0.1
30,0.2
24.7,0.1
20.3,0.1
21.1,0.1
23.1,0.2
19.3,0.1
18.4,0.1
22.7,0.1
25.2,0.2
25.4,0.2
28.1,0.1
20.9,0.1
16.6,0.1
16,0.1
19.7,0.1
23.2,0.3
45.5,0.5
29.4,0.1
20.5,0.2
18.8,0.2
32.7,0.4
42.2,0.3
58.2,0.2
42.1,0.1
26.4,0.1
30,0.1
75,0.1
56.8,0.1
17.6,0.2
279.4,0.2
18.4,0.2
36.6,0.2
27.8,0.2
31.9,0.3
35.9,0.1
50.7,0.1
37.8,0.1
16.3,0.1
12,0.1
20.4,0.1
19.4,0.1
19.8,0.3
24,0.2
31.8,0.1
38.7,0.2
35.5,0.2
25.8,0.2
32,0.2
24.3,0.2
21.9,0.2
36.3,0.1
24.4,0.1
24.3,0.1
21.7,0.1
43.3,0.1
25,0.2
26.6,0.2
47.1,0.2
32.5,0.2
42.3,0.2
23.3,0.1
59.6,0.1
12.7,0.1
16.4,0.2
34.3,0.1
32.4,0.1
47.3,0.2
27.5,0.1
26.8,0.2
24.5,0.2
59.3,0.1
65.1,0.1
15.1,0.1
14.4,0.2
11.7,0.2
15.6,0.2
68,0.1
27.1,0.1
21.2,0.2
29.9,0.3
48.7,0.2
31.4,0.2
39,0.1
23.3,0.1
26.5,0.1
23.4,0.1
22.3,0.1
36.5,0.2
30.9,0.2
27.2,0.1
22.3,0.1
33.3,0.1
23.3,0.1
29.7,0.2
22.6,0.1
21.1,0.1
49.6,0.2
18.7,0.1
20.8,0.1
25.1,0.2
28.9,0.2
26.9,0.1
21.1,0.1
37.4,0.2
23.1,0.1
30.4,0.1
