temp,wind
72.5,8.9
68.2,8.8
71.3,8.7
75.8,7.3
72.7,7.3
78,6.1
80.1,7.2
79.4,7.7
75,10.5
78.3,5.4
83.3,7.4
81.9,6.9
81.8,7.3
81.1,8.3
75.7,10.2
80.4,6.3
85.2,8.8
71.7,12.9
74.7,5.9
74.9,7
75.4,5.7
77.8,7.1
77.6,8.4
75.5,7.3
77.4,7.3
78.6,7.2
83.2,5.4
85.3,5
84.9,9.8
78.1,9
75.1,8.4
77.5,5.9
78.7,8.4
77.5,9
73.7,8.4
74.9,6.4
84.1,5.7
86.6,7.5
82.7,9.1
82.2,8.9
81.2,9
46.3,9.3
47.1,5.2
56.6,4.3
62.5,12.5
56.1,7.3
55,9.7
58.9,5.1
65.5,5.1
68.6,7.2
63.4,9.7
62.1,5.7
66.3,7.5
51.3,13.8
48.6,13.8
57.5,7.6
56.7,11.9
52,9.1
57.4,9.1
61.7,9.4
66.1,6.5
67.9,6.8
58.3,12.1
56.1,7.8
48.2,10.6
52.2,7
59.8,8.1
55.5,6.6
59.5,4.7
66.1,6.4
70.8,9.5
59.6,10
60.5,12.4
70.3,7.5
72.7,7.4
72.7,5.6
75.5,7.3
73.5,11.3
70,7.1
73.1,9.6
72.8,8.5
70,8.3
72.1,6.3
74.6,6
66.5,11.8
68.8,7.3
72.2,9.2
66.2,6.3
54.6,14.4
52.9,12
60,5.3
66,7.8
59.1,13.2
65.4,8.8
66,10.3
69.5,5.4
76,6.7
75.7,9
69.2,10.5
59,8.5
51.5,6.7
61.6,6.5
69,4.9
77.2,11.3
72.1,10.3
66.8,6.4
75.1,4.8
79.3,8.1
80.2,6.3
77.6,9.2
76,8.3
77.3,9.1
77.1,8.2
68.1,11
71.3,9.6
76.8,8.1
78.8,7.4
78.6,8
75.5,9.6
72.7,7.6
77.4,5.5
81.7,6.2
79.5,6.4
83.4,6.9
80.1,6.3
79.3,5.2
79.9,5.5
82.1,5.1
82.1,4.9
82.5,5.9
83,7.4
81.4,7.6
79.5,7.9
