pm10,pm25
19.5,7.3
18.7,5.4
41.5,8.9
32,6.6
27.4,4.8
64.9,8.6
38.6,8.2
28.1,7.6
25.7,5.9
20.5,4.8
19.3,4.8
18.9,4.6
18.4,4.5
19.6,4.9
19.8,5.5
30,8.2
24.7,5.8
20.3,4.6
21.1,4.3
23.1,5.3
19.3,4.4
18.4,4.9
22.7,5.8
25.2,6.4
25.4,8.1
28.1,7.7
20.9,4.6
16.6,3.9
16,4.6
19.7,8.6
23.2,9.4
45.5,16.8
20.5,6.4
18.8,7
32.7,10.5
42.2,11.1
58.2,12.3
42.1,8.8
26.4,7.4
30,7.3
75,12.6
56.8,9.8
17.6,6.6
279.4,54.8
18.4,6.2
36.6,9.1
27.8,7.1
31.9,9
35.9,8.6
50.7,9.2
37.8,10.8
16.3,8
12,5.5
20.4,6.1
19.4,8
19.8,8.5
24,8.2
31.8,12.2
38.7,15.1
35.5,10.3
25.8,10.6
32,11.2
24.3,9.9
21.9,6.9
36.3,6.6
24.4,4.5
24.3,4.6
21.7,7.1
43.3,10
25,6.1
26.6,6.3
47.1,10.7
32.5,9.6
42.3,9.4
23.3,5.9
59.6,9.3
12.7,4.1
16.4,4.3
34.3,7
32.4,5.6
47.3,10.1
27.5,6.8
26.8,7.3
24.5,5.2
59.3,13.1
65.1,12.9
15.1,3.3
14.4,3.6
11.7,3.6
15.6,5.4
68,14.9
27.1,8.2
21.2,6.8
29.9,13.6
48.7,16.1
31.4,11
39,12.9
23.3,8.1
26.5,7.4
23.4,7.5
22.3,7.2
36.5,9.8
30.9,8.5
27.2,8.3
22.3,6.4
33.3,8.8
23.3,7.4
29.7,9.7
22.6,8.2
21.1,7.7
49.6,14.1
18.7,6.5
20.8,6.6
25.1,8.8
28.9,10.5
26.9,9
21.1,7.1
37.4,11.3
23.1,10.1
30.4,9.2
