pm25,humidity
8.5,16.3
10.1,14.9
9.9,14.6
13.4,13.6
12.8,12
7.8,8.7
10,15.6
12,40.7
8.5,38.5
8.5,29.2
11.2,26.4
13.4,17.6
7.9,18.7
9.3,16.3
10.7,18.1
10.6,13.8
8.8,12.7
8.8,12.9
9.8,37.6
7,32.3
9.3,22.8
18.1,10.8
14.5,12.2
8.8,11.4
7.8,10.8
9.1,10.1
9.9,19
11.4,17.3
22.5,16.6
10.3,27.9
8.5,25.3
6.5,40.1
6,33.9
8.4,18.9
12,12.8
10.7,10.3
11.5,7.3
12,12.2
7.5,35.4
7.1,36.9
10.1,21.9
3.5,32.4
6,46
5.4,38.1
8.1,20.3
14.5,14.4
7,16.8
5.6,21.9
7.3,30.5
6.7,27.5
6.9,12.5
7.6,13.6
9.5,35.4
6.8,33.4
8.6,16.5
18.8,16.2
10.3,16.5
8.6,14.8
10.9,12.5
7.7,19.6
6.4,19
9.2,34.4
6.4,36.9
7.6,22.5
5.6,17.5
6.3,12.1
16.3,10
9.3,11.1
8,11.7
7.7,19.5
7,14.8
7.6,11.4
11.1,23.3
11.7,35.6
8.7,39.9
7.9,28.9
15.1,17.2
7.4,29.2
5,50.5
6.8,42.6
8,20.4
6.6,9.6
8.9,9.9
9.6,9.5
11.6,9
11.5,10.1
10.6,12
10.5,12.5
12.1,9
10.4,9.2
9.3,27.4
6.6,41.7
5.8,30.1
3.9,20
4.7,20.8
9.4,22.1
9.2,27.9
7,27
7.4,17.6
15.8,15.3
12.8,16.8
10.2,16
10.5,25.7
7.6,39.5
7.8,21.9
7.1,22.2
7.4,13.8
6.7,12
7.3,14.8
12.3,13.8
8.8,17.6
9.2,16.2
8.4,16
8.4,11.4
32.7,15.8
6.8,24.1
7.2,15.8
7,18.5
6,15.9
8.6,32.3
4.2,37.7
4.6,23.8
43.2,11.7
15.2,23.8
7.2,28.2
8.5,20.6
19.2,16.1
13.4,16.4
17.6,14.9
17.1,14.4
10.2,10.9
14.2,11.5
14.1,10.8
11.1,29.6
9.5,41.3
6.2,42.3
6.3,23.2
5.7,9.9
6.3,10.4
6.5,8.9
7.2,9.2
6.8,12.3
6.3,12.1
5.1,7.9
5.9,31.1
4.3,26.3
9,12.2
21.3,15.6
4.5,18.7
9.4,15.1
10.1,23.8
4.6,51.4
3.3,27.7
4.8,10.4
4.9,9.9
