pm10,radiation
22.9,0.362
33.7,0.362
26.8,0.336
39.4,0.342
38.5,0.268
32.2,0.243
43.2,0.316
47.3,0.234
22.4,0.357
23.6,0.387
38,0.377
80.2,0.374
20.3,0.395
24.3,0.377
22.5,0.398
28.2,0.398
26.6,0.403
30.8,0.41
34.6,0.4
20.6,0.397
29.9,0.41
93.5,0.389
78,0.397
28.3,0.422
25,0.425
25.9,0.426
23.1,0.427
28,0.396
110.4,0.374
30.6,0.342
23.7,0.375
18,0.305
14.8,0.443
20.5,0.449
30.4,0.449
26.7,0.434
27.1,0.361
42.3,0.173
25.8,0.359
21.9,0.458
56,0.446
13,0.465
20,0.306
20.2,0.466
28.8,0.468
77.7,0.435
31,0.459
19.5,0.475
26.2,0.412
22.7,0.477
23.9,0.485
24.9,0.478
40.8,0.386
20.9,0.459
30.3,0.487
94.1,0.472
47.5,0.482
31.6,0.49
43.8,0.491
29.3,0.492
22.5,0.493
44.1,0.484
19.8,0.493
23.4,0.494
21.7,0.501
26.7,0.468
79,0.492
35.4,0.506
32.7,0.508
25.9,0.511
23.8,0.517
25.2,0.519
32.5,0.463
30.3,0.491
31.9,0.35
34.5,0.436
82.1,0.445
36.5,0.422
18.8,0.338
23.3,0.463
27.3,0.51
21.4,0.514
40.6,0.486
40.4,0.506
47.9,0.474
52.1,0.51
47.4,0.5
28.5,0.515
36.1,0.523
33,0.481
27.5,0.36
20.3,0.404
22,0.327
21.5,0.326
22.5,0.217
30.7,0.328
28.1,0.304
30.3,0.341
30.8,0.35
47.9,0.335
51.5,0.311
45.8,0.349
38.5,0.335
34.6,0.344
36.1,0.356
30.7,0.362
31.9,0.356
30.3,0.344
27.7,0.369
45,0.363
30.6,0.366
35,0.359
28.3,0.37
34.5,0.38
21.6,0.327
26.1,0.412
48.2,0.415
26.1,0.418
34.8,0.335
38.6,0.432
26.7,0.437
25.3,0.393
28.4,0.427
32.8,0.409
32.7,0.423
25.4,0.416
27.2,0.406
23.5,0.448
23.7,0.443
25.3,0.45
33.1,0.429
29.7,0.454
25.4,0.493
24,0.465
29,0.449
21.1,0.451
45.9,0.457
107.9,0.421
22.6,0.455
48.3,0.441
53.2,0.382
16.1,0.312
14.3,0.475
20.1,0.495
27.7,0.488
25.4,0.478
30.2,0.48
26,0.48
36.8,0.408
22,0.479
27.7,0.458
25.8,0.465
20.7,0.437
24,0.479
21.4,0.477
26.4,0.479
20.1,0.445
26.8,0.469
115.3,0.357
25.2,0.487
28.6,0.466
20.5,0.505
20.9,0.502
24,0.49
26.4,0.469
29.7,0.492
26.1,0.424
43.1,0.453
41,0.495
24.9,0.502
27.8,0.502
25.5,0.486
50.4,0.425
27.1,0.393
21.8,0.352
38.7,0.356
40.3,0.361
29.8,0.369
39.6,0.315
24.7,0.299
35.2,0.333
38.5,0.278
27.8,0.37
22.9,0.302
22.7,0.196
22.7,0.338
28.4,0.371
32,0.353
91.6,0.351
24.3,0.323
24.3,0.325
49.1,0.395
19.2,0.377
24.4,0.411
37.6,0.396
27.3,0.381
36.9,0.359
43.8,0.305
48.1,0.351
28.2,0.092
21.3,0.386
23,0.422
25.4,0.429
28,0.433
24,0.405
23.1,0.381
29.6,0.443
35,0.45
57,0.441
35.2,0.419
33.1,0.362
36.1,0.373
47.1,0.448
33.5,0.376
42.2,0.454
37.1,0.454
100.3,0.437
128,0.441
23.4,0.477
30.1,0.478
33.8,0.424
58.1,0.447
40.9,0.47
66.8,0.423
42.5,0.476
21.1,0.475
29.5,0.301
29.9,0.479
34,0.477
34,0.419
39.4,0.446
35.7,0.242
33.7,0.453
25.9,0.488
30.9,0.455
33.9,0.306
114.2,0.434
25.5,0.51
26.9,0.509
26.1,0.508
22.6,0.509
35.3,0.465
29.9,0.502
29.2,0.507
32.1,0.514
40.9,0.512
30.4,0.463
22.3,0.458
28.1,0.516
28.8,0.522
29,0.52
35.9,0.523
43.9,0.523
29.2,0.532
49.1,0.502
30.6,0.438
25.2,0.502
27,0.52
25,0.523
30.1,0.535
36.2,0.423
24.4,0.526
26.2,0.538
28.8,0.533
29.7,0.53
27.8,0.535
22.7,0.347
35.3,0.287
24.6,0.355
28.3,0.34
25.7,0.355
32.1,0.361
47.1,0.24
123.5,0.108
24.4,0.304
27.5,0.145
29.4,0.126
43.6,0.225
89.8,0.351
44.1,0.394
41.8,0.313
19.3,0.161
17.4,0.393
20,0.294
30.8,0.398
38.8,0.385
27.9,0.36
24.4,0.375
33.7,0.393
22,0.422
27.9,0.408
31.3,0.363
28,0.325
26.1,0.417
40.5,0.436
31.8,0.353
27.4,0.425
26.7,0.402
39.8,0.432
46,0.434
30,0.378
40.6,0.356
23.6,0.427
21.6,0.455
24.8,0.458
55.4,0.456
199.7,0.36
39.3,0.459
32.4,0.21
23.6,0.419
23.8,0.47
33.4,0.466
29.4,0.449
33.5,0.372
20.1,0.477
24.8,0.484
35.1,0.461
24.6,0.486
30.7,0.316
19.7,0.416
17.1,0.48
23.2,0.489
31.9,0.44
28.5,0.489
25.6,0.497
26.7,0.448
34.9,0.497
27.1,0.508
26.4,0.457
29.2,0.507
27.6,0.507
24.2,0.51
27.7,0.495
37.5,0.385
27.2,0.459
35.5,0.462
27.5,0.346
17.8,0.442
18.7,0.247
20.6,0.417
27.9,0.513
25.4,0.506
30,0.484
65.6,0.524
32.9,0.523
26.8,0.455
128.5,0.299
52.4,0.521
65,0.514
45.3,0.516
32,0.527
24.3,0.507
99.5,0.4
48,0.52
25.5,0.529
25.6,0.533
38.1,0.501
29,0.48
16.5,0.184
27.3,0.202
13.9,0.099
14.1,0.295
21.9,0.369
20.6,0.366
24.7,0.356
9.1,0.141
20,0.366
24.2,0.263
25.1,0.299
11.6,0.151
13.6,0.29
25.5,0.395
27.2,0.255
25.8,0.403
26.4,0.129
16.1,0.119
11.5,0.382
23.1,0.4
18.8,0.365
20.7,0.404
31.8,0.42
16.6,0.431
17.4,0.422
30.6,0.276
109.7,0.283
17.1,0.44
22,0.321
16.3,0.44
25.8,0.403
23,0.369
19.1,0.453
23.6,0.309
25.2,0.435
20.4,0.454
19.3,0.294
17.6,0.459
20.1,0.442
17.7,0.422
18.7,0.471
20.4,0.461
35.3,0.467
27.5,0.472
16.4,0.476
23.1,0.48
20,0.475
23,0.384
25.7,0.485
15.9,0.489
21.1,0.483
24.3,0.498
19.6,0.491
21,0.496
21.5,0.499
27.6,0.497
22.3,0.5
23.2,0.457
21.7,0.505
38.7,0.497
35.7,0.466
27.1,0.446
24.2,0.504
19.5,0.51
18.7,0.523
41.5,0.51
32,0.511
27.4,0.523
64.9,0.481
38.6,0.495
28.1,0.384
25.7,0.421
20.5,0.525
19.3,0.524
18.9,0.45
18.4,0.526
19.6,0.531
19.8,0.533
30,0.529
24.7,0.516
20.3,0.534
21.1,0.543
23.1,0.544
19.3,0.541
18.4,0.52
22.7,0.533
25.2,0.529
25.4,0.538
28.1,0.515
20.9,0.525
16.6,0.527
16,0.534
19.7,0.354
23.2,0.366
45.5,0.35
29.4,0.358
20.5,0.374
18.8,0.368
32.7,0.362
42.2,0.318
58.2,0.286
42.1,0.383
26.4,0.384
30,0.337
75,0.372
56.8,0.392
17.6,0.398
279.4,0.294
18.4,0.408
36.6,0.402
27.8,0.403
31.9,0.406
35.9,0.267
50.7,0.391
37.8,0.413
16.3,0.331
12,0.416
20.4,0.429
19.4,0.39
19.8,0.431
24,0.413
31.8,0.44
38.7,0.436
35.5,0.391
25.8,0.417
32,0.447
24.3,0.446
21.9,0.412
36.3,0.393
24.4,0.471
24.3,0.427
21.7,0.468
43.3,0.471
25,0.421
26.6,0.444
47.1,0.466
32.5,0.385
42.3,0.265
23.3,0.26
59.6,0.4
12.7,0.454
16.4,0.481
34.3,0.492
32.4,0.485
47.3,0.42
27.5,0.491
26.8,0.496
24.5,0.493
59.3,0.436
65.1,0.405
15.1,0.352
14.4,0.137
11.7,0.328
15.6,0.507
68,0.458
27.1,0.517
21.2,0.512
29.9,0.474
48.7,0.49
31.4,0.478
39,0.525
23.3,0.53
26.5,0.502
23.4,0.53
22.3,0.489
36.5,0.501
30.9,0.463
27.2,0.44
22.3,0.541
33.3,0.524
23.3,0.491
29.7,0.456
22.6,0.533
21.1,0.376
49.6,0.526
18.7,0.537
20.8,0.514
25.1,0.542
28.9,0.448
26.9,0.372
21.1,0.549
37.4,0.54
23.1,0.513
30.4,0.536
