pm25,temp
5.1,69.5
5.4,72.5
4.8,68.2
4.8,71.3
5.1,75.8
7.1,72.7
5.7,78
5.8,80.1
5,79.4
8.1,75
8.1,78.3
7.3,83.3
7.1,81.9
7.3,81.8
5.4,81.1
8.9,75.7
6.6,80.4
4.8,85.2
8.6,71.7
8.2,74.7
7.6,74.9
5.9,75.4
4.8,77.8
4.8,77.6
4.6,75.5
4.5,77.4
4.9,78.6
5.5,83.2
8.2,85.3
5.8,84.9
4.6,78.1
4.3,75.1
5.3,77.5
4.4,78.7
4.9,77.5
5.8,73.7
6.4,74.9
8.1,84.1
7.7,86.6
4.6,82.7
3.9,82.2
4.6,81.2
8.6,46.3
9.4,47.1
16.8,56.6
6.4,56.1
7,55
10.5,58.9
11.1,65.5
12.3,68.6
8.8,63.4
7.4,62.1
7.3,66.3
12.6,51.3
9.8,48.6
6.6,57.5
54.8,56.7
6.2,52
9.1,57.4
7.1,61.7
9,66.1
8.6,67.9
9.2,58.3
10.8,56.1
8,48.2
5.5,52.2
6.1,59.8
8,55.5
8.5,59.5
8.2,66.1
12.2,70.8
15.1,59.6
10.3,60.5
10.6,70.3
11.2,72.7
9.9,72.7
6.9,75.5
6.6,73.5
4.5,70
4.6,73.1
7.1,72.8
10,70
6.1,72.1
6.3,74.6
10.7,66.5
9.6,68.8
9.4,72.2
5.9,66.2
9.3,54.6
4.1,52.9
4.3,60
7,66
5.6,59.1
10.1,65.4
6.8,66
7.3,69.5
5.2,76
13.1,75.7
12.9,69.2
3.3,59
3.6,51.5
3.6,61.6
5.4,69
14.9,77.2
8.2,72.1
6.8,66.8
13.6,75.1
16.1,79.3
11,80.2
12.9,77.6
8.1,76
7.4,77.3
7.5,77.1
7.2,68.1
9.8,71.3
8.5,76.8
8.3,78.8
6.4,78.6
8.8,75.5
7.4,72.7
9.7,77.4
8.2,81.7
7.7,79.5
14.1,83.4
6.5,80.1
6.6,79.3
8.8,79.9
10.5,82.1
9,82.1
7.1,82.5
11.3,83
10.1,81.4
9.2,79.5
