pm10,wind
19.5,7.3
18.7,8.3
41.5,10.2
32,6.3
27.4,8.8
64.9,12.9
38.6,5.9
28.1,7
25.7,5.7
20.5,7.1
19.3,8.4
18.9,7.3
18.4,7.3
19.6,7.2
19.8,5.4
30,5
24.7,9.8
20.3,9
21.1,8.4
23.1,5.9
19.3,8.4
18.4,9
22.7,8.4
25.2,6.4
25.4,5.7
28.1,7.5
20.9,9.1
16.6,8.9
16,9
19.7,9.3
23.2,5.2
45.5,4.3
29.4,12.5
20.5,7.3
18.8,9.7
32.7,5.1
42.2,5.1
58.2,7.2
42.1,9.7
26.4,5.7
30,7.5
75,13.8
56.8,13.8
17.6,7.6
279.4,11.9
18.4,9.1
36.6,9.1
27.8,9.4
31.9,6.5
35.9,6.8
50.7,12.1
37.8,7.8
16.3,10.6
12,7
20.4,8.1
19.4,6.6
19.8,4.7
24,6.4
31.8,9.5
38.7,10
35.5,12.4
25.8,7.5
32,7.4
24.3,5.6
21.9,7.3
36.3,11.3
24.4,7.1
24.3,9.6
21.7,8.5
43.3,8.3
25,6.3
26.6,6
47.1,11.8
32.5,7.3
42.3,9.2
23.3,6.3
59.6,14.4
12.7,12
16.4,5.3
34.3,7.8
32.4,13.2
47.3,8.8
27.5,10.3
26.8,5.4
24.5,6.7
59.3,9
65.1,10.5
15.1,8.5
14.4,6.7
11.7,6.5
15.6,4.9
68,11.3
27.1,10.3
21.2,6.4
29.9,4.8
48.7,8.1
31.4,6.3
39,9.2
23.3,8.3
26.5,9.1
23.4,8.2
22.3,11
36.5,9.6
30.9,8.1
27.2,7.4
22.3,8
33.3,9.6
23.3,7.6
29.7,5.5
22.6,6.2
21.1,6.4
49.6,6.9
18.7,6.3
20.8,5.2
25.1,5.5
28.9,5.1
26.9,4.9
21.1,5.9
37.4,7.4
23.1,7.6
30.4,7.9
