pm10,temp
22.9,65.2
33.7,68.4
26.8,67
39.4,66.9
38.5,65.9
32.2,69
43.2,60.6
47.3,52.2
22.4,55.2
23.6,59.9
38,61.9
80.2,63.4
20.3,61
24.3,65.3
22.5,65.1
28.2,65.4
26.6,65.7
30.8,66.9
34.6,53.3
20.6,54.6
29.9,64.5
93.5,70.8
78,61.1
28.3,56.5
25,62.4
25.9,66.2
23.1,61.7
28,66.5
110.4,68.4
30.6,59.9
23.7,55
18,50.6
14.8,52.5
20.5,60.3
30.4,67
26.7,73
27.1,69
42.3,68.4
25.8,67.8
21.9,67.8
56,66.9
13,62.4
20,59
20.2,63.8
28.8,71.4
77.7,73.4
31,60.9
19.5,60.6
26.2,65.1
22.7,65.7
23.9,71.8
24.9,75.1
40.8,72.7
20.9,72.7
30.3,73.1
94.1,73.4
47.5,66.5
31.6,65.7
43.8,71.7
29.3,63.8
22.5,66.2
44.1,59.5
19.8,58.6
23.4,69.3
21.7,73.8
26.7,78.5
79,80.2
35.4,71.9
32.7,68.7
25.9,68.5
23.8,72.9
25.2,76.5
32.5,75.3
30.3,78.7
31.9,73.6
34.5,77.2
82.1,78.8
36.5,70.9
18.8,62.4
23.3,66.3
27.3,77.2
21.4,79.1
40.6,78.7
40.4,79.3
47.9,78.1
52.1,78.6
47.4,74.6
28.5,70.8
36.1,77
33,81.8
27.5,78.7
20.3,73.5
22,54
21.5,54.5
22.5,57.3
30.7,62.6
28.1,65.9
30.3,64.7
30.8,59.2
47.9,63.2
51.5,65.9
45.8,67.9
38.5,68.6
34.6,62.8
36.1,64.1
30.7,68
31.9,70.8
30.3,71.3
27.7,71
45,73.2
30.6,76.3
35,75.5
28.3,76.2
34.5,76.4
21.6,66.8
26.1,65.4
48.2,64.1
26.1,58.8
34.8,65.2
38.6,71.2
26.7,74.1
25.3,70.5
28.4,68.7
32.8,72.5
32.7,73.4
25.4,71.2
27.2,75.7
23.5,74.1
23.7,73.6
25.3,74.5
33.1,75.8
29.7,76.6
25.4,77.1
24,74.8
29,65.7
21.1,67.7
45.9,78.1
107.9,74.8
22.6,67.8
48.3,75.4
53.2,74.5
16.1,52.1
14.3,60.1
20.1,70.7
27.7,75.3
25.4,75.6
30.2,68.9
26,76.6
36.8,80.5
22,78.4
27.7,74.8
25.8,67.1
20.7,61.3
24,68.2
21.4,74.5
26.4,79.7
20.1,80.4
26.8,77.7
115.3,69.7
25.2,68.6
28.6,73
20.5,70.7
