pm25,ozone
8.5,22
10.1,26
9.9,29
13.4,17
12.8,19
7.8,38
10,30
12,37
8.5,26
8.5,22
11.2,28
13.4,37
7.9,41
9.3,32
10.7,33
10.6,22
8.8,27
8.8,33
9.8,35
7,36
9.3,27
18.1,40
14.5,43
8.8,21
7.8,35
9.1,43
9.9,44
11.4,31
22.5,39
10.3,39
8.5,36
6.5,38
6,33
8.4,28
12,21
10.7,33
11.5,36
12,19
7.5,38
7.1,35
10.1,35
3.5,39
6,30
5.4,28
8.1,24
14.5,41
7,46
5.6,34
7.3,39
6.7,31
6.9,34
7.6,42
9.5,47
6.8,39
8.6,38
18.8,41
10.3,46
8.6,37
10.9,40
7.7,46
6.4,43
9.2,39
6.4,35
7.6,44
5.6,49
6.3,48
16.3,44
9.3,49
8,49
7.7,41
7,39
7.6,37
11.1,37
11.7,48
8.7,45
7.9,43
15.1,31
7.4,33
5,28
6.8,32
8,33
6.6,42
8.9,43
9.6,39
11.6,43
11.5,38
10.6,42
10.5,43
12.1,35
10.4,37
9.3,33
6.6,33
5.8,30
3.9,31
4.7,41
9.4,30
9.2,28
7,30
7.4,29
15.8,26
12.8,17
10.2,21
10.5,28
7.6,33
7.8,29
7.1,28
7.4,25
6.7,30
7.3,28
12.3,27
8.8,35
9.2,30
8.4,27
8.4,27
32.7,36
6.8,44
7.2,36
7,
6,43
8.6,43
4.2,37
4.6,32
43.2,50
15.2,45
7.2,42
8.5,44
19.2,51
13.4,42
17.6,25
17.1,23
10.2,33
14.2,37
14.1,38
11.1,43
9.5,38
6.2,39
6.3,36
5.7,37
6.3,37
6.5,42
7.2,33
6.8,32
6.3,35
5.1,45
5.9,41
4.3,43
9,46
21.3,47
4.5,49
9.4,42
10.1,34
4.6,45
3.3,38
4.8,36
4.9,34
5,39
4.1,44
5.2,40
7.2,36
4.6,40
6.2,42
5.8,43
4.8,47
5.8,43
4,48
6,49
5.1,46
5.3,39
18.4,44
5.1,44
5.9,45
4.2,41
4.6,56
9,49
7,44
7.4,41
6,43
8.5,36
9,32
7.4,27
5.8,46
8.2,50
13.4,49
13.3,44
5.7,32
10.5,25
11.1,22
6.1,35
8.2,31
4.6,32
7.7,38
9.5,25
6.4,32
5.7,39
6.3,38
5.9,39
7.2,36
9.4,40
13.7,35
6.9,33
6.1,32
8.7,42
4.7,38
