nitrogen,ozone
14.8,34
20.5,27
9.3,41
6.8,33
2.9,36
6.3,43
13.8,45
14.6,36
4.8,41
3.9,53
9.5,39
18.9,31
14.1,39
6.9,47
8.2,49
4.4,50
6.6,48
5.4,51
10.1,36
19.8,33
24,26
4.6,39
9.2,46
7.2,46
9.1,45
3.1,40
3.8,43
4.8,45
3.7,47
9.4,45
11.1,41
9,51
6.2,51
17.4,36
10.9,35
11.4,37
12.3,32
3.5,36
3.1,31
2.3,29
9.9,21
11,26
11.4,29
10.8,36
9.9,47
12,46
1.7,51
5.6,47
8.4,50
6.1,49
9.8,43
14.7,34
15.2,32
7.6,39
7.6,43
9.9,39
7.7,38
11.5,33
11.4,31
8.2,35
7.4,31
7.4,30
9.9,32
12,32
8.2,30
6.4,35
7.9,40
9.9,28
11.6,21
2.4,34
1.2,48
2.5,50
2.6,41
2.3,40
3.2,41
5.4,40
17.6,32
10.8,35
6.6,40
7,35
11.4,33
6.9,39
13.6,38
4.5,41
11.7,31
10.6,37
5.5,39
3.4,37
2.1,40
14.2,41
19.9,28
4.1,43
16,30
17.9,25
7.8,35
9.1,33
10.3,33
6.9,40
2.3,50
5,41
14.6,33
7.9,38
9.7,34
18.8,33
4.6,43
2.5,43
7.8,36
12.6,42
6.6,37
1.8,37
6.5,38
4.3,41
6.6,44
11.2,38
6.1,45
10.3,38
5.6,41
7.5,38
5.5,35
8.2,35
12.9,34
10.4,37
14.6,35
8.6,40
8,40
7.5,36
5,41
6.3,46
3.9,31
5.5,34
1.4,39
6.9,39
14.8,34
10.2,43
4.4,43
3.5,43
5.9,48
6.3,45
3.8,50
7.4,49
9.7,45
16.6,40
19.2,32
13.6,26
3.8,36
3.4,40
6.9,41
6.7,26
12.9,21
7.1,29
8.4,35
16.4,23
4.9,36
11.3,31
8.3,24
14.1,21
17.7,13
20.8,12
7.9,23
10.3,24
13.8,31
16.4,23
18,21
16,21
16.9,18
9.5,37
15.2,26
8.8,35
16.3,31
15.2,33
13.1,34
14.7,30
11.5,27
5.1,39
10.7,39
13,29
10.3,40
20,30
10.4,38
6.4,42
12.4,32
8.7,37
8.4,37
8.5,37
9.2,32
9.2,33
8.5,35
13,33
8.5,41
3.2,42
6,41
8.4,39
9.3,42
8,44
12.5,37
6.9,40
7.7,41
8.9,41
8.6,42
8.6,45
9.3,41
10,42
7.8,44
7.8,42
10.6,39
9.1,41
4.8,47
13.4,45
11.8,38
8.9,38
4.9,42
8,43
5,47
12,50
7.8,51
3.8,51
8.5,55
5.2,46
7.9,50
7.2,44
5.8,42
7.5,40
9.9,42
6.7,44
7.7,41
15.7,36
5.9,43
7.9,42
8.7,45
11.3,43
6.8,44
4.1,44
5.6,46
9.7,45
14,38
8.7,50
4.5,49
3.8,47
2.6,51
5.4,37
17,29
30.6,18
4.4,34
9.5,34
7.2,42
19,37
25.9,20
26.3,28
4.3,30
7.3,32
5.2,34
6.3,41
8,45
6.8,37
4.8,39
5.5,42
6.3,46
13.3,38
10.9,39
7.2,35
12,33
5.2,36
10.9,33
14.1,35
17.9,30
15.1,30
11.5,37
7.3,41
3.9,44
3.8,43
